	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.24	[Eubacterium] rectale:770_772;772_774;780_781	0.195345005	0.208964646	0.024559128	0.379617678	0.694184522	[Eubacterium] rectale:770	657318.PRJNA39159	Genes_ Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen;Relaxase/Mobilisation nuclease domain.;Predicted transcriptional regulators;DNA-directed RNA polymerase specialized sigma subunit
progression.25	[Eubacterium] rectale:740_741;742_743;743_745	0.204687489	0.235479798	0.053737612	0.402121258	0.694184522	[Eubacterium] rectale:740	657318.PRJNA39159	Genes_ ATPases involved in chromosome partitioning
progression.26	[Eubacterium] rectale:764_766;766_768	0.32064393	0.127525253	-0.056729901	0.303379621	0.778627063	[Eubacterium] rectale:764	657318.PRJNA39159	Genes_ DNA methylase
progression.27	[Eubacterium] rectale:745_754;756_764	0.264070552	0.22979798	0.04782308	0.397008573	0.755609921	[Eubacterium] rectale:745	657318.PRJNA39159	"Genes_ DNA topoisomerase III, bacteria and conjugative plasmid;DNA primase (bacterial type);DNA methylase"
progression.28	[Eubacterium] rectale:754_756	0.298067949	0.183396465	-0.000662122	0.355436166	0.778627063	[Eubacterium] rectale:754	657318.PRJNA39159	"Genes_ DNA topoisomerase III, bacteria and conjugative plasmid"
progression.29	[Eubacterium] rectale:1121_1123	0.563894541	0.182765152	0.005458167	0.348930612	0.927678461	[Eubacterium] rectale:1121	657318.PRJNA39159	"Genes_ FR47-like protein.;Shikimate kinase.;Site-specific recombinases, DNA invertase Pin homologs"
progression.30	[Eubacterium] rectale:3027_3028;3028_3030;3030_3031	0.525931785	0.01010101	-0.168951864	0.188508477	0.907232329	[Eubacterium] rectale:3027	657318.PRJNA39159	"Genes_ ABC-type antimicrobial peptide transport system, ATPase component;ABC-type antimicrobial peptide transport system, permease component;Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
progression.31	[Eubacterium] rectale:1968_1970;1970_1971	0.462278409	0.069128788	-0.112310007	0.246106723	0.865987609	[Eubacterium] rectale:1968	657318.PRJNA39159	Genes_ uracil-xanthine permease;Putative transposase.;Site-specific recombinase XerD
progression.32	[Eubacterium] rectale:1073_1075	0.87116454	0.161300505	-0.019661755	0.332029593	0.964337218	[Eubacterium] rectale:1073	657318.PRJNA39159	"Genes_ ABC-type transport system, involved in lipoprotein release, permease component;ABC-type antimicrobial peptide transport system, ATPase component"
progression.33	[Eubacterium] rectale:1097_1099	0.821044174	0.228219697	0.04101324	0.39994614	0.964337218	[Eubacterium] rectale:1097	657318.PRJNA39159	"Genes_ ABC-type multidrug transport system, ATPase component;;RNA polymerase sigma factor, sigma-70 family"
progression.34	[Eubacterium] rectale:3144_3145;3147_3149;3149_3151	0.485606621	-0.021780303	-0.200580188	0.158423791	0.876850512	[Eubacterium] rectale:3144	657318.PRJNA39159	"Genes_ Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain;carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-);carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-);conserved hypothetical protein TIGR02336;dTDP-glucose pyrophosphorylase"
progression.35	[Eubacterium] rectale:2954_2956	0.804634431	0.096906566	-0.084794793	0.2723702	0.964337218	[Eubacterium] rectale:2954	657318.PRJNA39159	Genes_ unannotated
progression.36	[Eubacterium] rectale:2956_2961	0.661962949	0.087121212	-0.091134598	0.259967407	0.942357033	[Eubacterium] rectale:2956	657318.PRJNA39159	"Genes_ ;Response regulator of the LytR/AlgR family;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase."
progression.37	[Eubacterium] rectale:2948_2950;2950_2951	0.236836356	0.188131313	0.00570144	0.358441863	0.744932141	[Eubacterium] rectale:2948	657318.PRJNA39159	Genes_ unannotated
progression.38	[Eubacterium] rectale:2962_2964	0.686874779	0.108901515	-0.072498941	0.283327755	0.942357033	[Eubacterium] rectale:2962	657318.PRJNA39159	Genes_ unannotated
progression.39	[Eubacterium] rectale:461_462;462_464;464_466;466_467;467_468	0.640690079	0.122790404	-0.057929304	0.29571788	0.942357033	[Eubacterium] rectale:461	657318.PRJNA39159	"Genes_ Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain;His Kinase A (phosphoacceptor) domain./Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase.;ABC-type antimicrobial peptide transport system, ATPase component;ABC-type transport system, involved in lipoprotein release, permease component;plasmid mobilization system relaxase"
progression.40	[Eubacterium] rectale:3_6;626_627;1713_1714;2651_2652;3103_3105;3105_3106	0.729290087	0.116477273	-0.064857618	0.290365608	0.944033003	[Eubacterium] rectale:3	657318.PRJNA39159	Genes_ 23S ribosomal RNA;Glutamate dehydrogenase/leucine dehydrogenase;hemerythrin-like metal-binding domain;Beta-xylosidase;Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain;Signal transduction histidine kinase
progression.41	[Eubacterium] rectale:404_406	0.623097944	0.110479798	-0.071436539	0.285282898	0.942357033	[Eubacterium] rectale:404	657318.PRJNA39159	"Genes_ NADPH-dependent FMN reductase.;putative efflux protein, MATE family;"
progression.42	[Eubacterium] rectale:3340_3341	0.943934242	0.133522727	-0.046412621	0.305065657	0.9843546	[Eubacterium] rectale:3340	657318.PRJNA39159	Genes_ Predicted transcriptional regulator with C-terminal CBS domains;Phage-related protein
progression.43	[Eubacterium] rectale:3036_3037	0.551531182	0.044507576	-0.135405655	0.221579372	0.927678461	[Eubacterium] rectale:3036	657318.PRJNA39159	Genes_ unannotated
progression.44	[Eubacterium] rectale:408_410	0.55745534	0.037878788	-0.14105093	0.214412108	0.927678461	[Eubacterium] rectale:408	657318.PRJNA39159	Genes_ Putative transposase.;Site-specific recombinase XerD
progression.45	[Eubacterium] rectale:1227_1228	0.34776421	-0.087752525	-0.261659667	0.09167348	0.778627063	[Eubacterium] rectale:1227	657318.PRJNA39159	"Genes_ Transposase and inactivated derivatives, IS30 family;"
progression.46	[Eubacterium] rectale:3034_3036	0.477045574	0.10385101	-0.077986067	0.279000917	0.873879945	[Eubacterium] rectale:3034	657318.PRJNA39159	Genes_ EMAP domain;Predicted transcriptional regulators;
progression.47	[Eubacterium] rectale:2972_2973	0.082547877	0.242424242	0.06142851	0.407984029	0.588176301	[Eubacterium] rectale:2972	657318.PRJNA39159	Genes_ Chromate transport protein ChrA
progression.48	[Eubacterium] rectale:474_476;476_477	0.680166929	0.196338384	0.019199653	0.361526242	0.942357033	[Eubacterium] rectale:474	657318.PRJNA39159	Genes_ Predicted ATPase;Site-specific recombinase XerD;Putative transposase.
progression.49	[Eubacterium] rectale:1971_1976	0.59279676	0.109532828	-0.075631914	0.287395285	0.927678461	[Eubacterium] rectale:1971	657318.PRJNA39159	"Genes_ ;Uncharacterized protein conserved in bacteria;ABC-type antimicrobial peptide transport system, ATPase component"
progression.50	[Eubacterium] rectale:3032_3034	0.387298687	0.190656566	0.010050129	0.359216784	0.810421341	[Eubacterium] rectale:3032	657318.PRJNA39159	Genes_ Site-specific recombinase XerD;;EMAP domain
progression.51	[Eubacterium] rectale:3254_3258	0.145718058	0.242739899	0.060689529	0.409160765	0.636526454	[Eubacterium] rectale:3254	657318.PRJNA39159	"Genes_ ;ABC-type antimicrobial peptide transport system, ATPase component;Predicted permease."
progression.52	[Eubacterium] rectale:1903_1904	0.934845475	-0.081439394	-0.258042917	0.10043054	0.98229956	[Eubacterium] rectale:1903	657318.PRJNA39159	Genes_ Transposase and inactivated derivatives
progression.53	Faecalibacterium prausnitzii:2480_2481	0.69851688	0.082317073	-0.10825518	0.267053726	0.942357033	Faecalibacterium prausnitzii:2480	748224.PRJNA46809	Genes_ MobA/MobL family protein;
progression.54	Faecalibacterium prausnitzii:2481_2482	0.395878108	0.09222561	-0.099264364	0.277128678	0.810421341	Faecalibacterium prausnitzii:2481	748224.PRJNA46809	Genes_ unannotated
progression.55	Faecalibacterium prausnitzii:2474_2475	0.461045748	0.030868902	-0.160447737	0.219950086	0.865987609	Faecalibacterium prausnitzii:2474	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein"
progression.56	Faecalibacterium prausnitzii:2475_2479	0.468869677	0.104801829	-0.085882885	0.288079896	0.873879945	Faecalibacterium prausnitzii:2475	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein;"
progression.57	Faecalibacterium prausnitzii:2368_2371;2378_2379;2381_2389;2389_2390	0.811144713	0.150533537	-0.034865629	0.325916285	0.964337218	Faecalibacterium prausnitzii:2368	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein;RNA polymerase sigma factor, sigma-70 family;relaxase/mobilization nuclease domain protein;Gram-positive signal peptide protein, YSIRK family;NlpC/P60 family protein;SpoVG"
progression.58	Faecalibacterium prausnitzii:2393_2394	0.238497253	0.165015244	-0.021774676	0.34067336	0.744932141	Faecalibacterium prausnitzii:2393	748224.PRJNA46809	Genes_ Virulence-associated protein E;CHC2 zinc finger domain protein
progression.59	Faecalibacterium prausnitzii:2397_2398	0.988817289	0.153582317	-0.034779644	0.331407122	0.993617373	Faecalibacterium prausnitzii:2397	748224.PRJNA46809	Genes_ unannotated
progression.60	Faecalibacterium prausnitzii:2398_2401	0.869607686	0.036966463	-0.152874154	0.224175912	0.964337218	Faecalibacterium prausnitzii:2398	748224.PRJNA46809	Genes_ DNA-binding helix-turn-helix protein;
progression.61	Faecalibacterium prausnitzii:1331_1336	0.682214873	0.025152439	-0.164548223	0.2130588	0.942357033	Faecalibacterium prausnitzii:1331	748224.PRJNA46809	"Genes_ ;AMP-binding enzyme;acetyltransferase, GNAT family;radical SAM domain family protein"
progression.62	Faecalibacterium prausnitzii:2159_2161;2161_2163;2608_2609	0.988668606	0.069359756	-0.12432294	0.25795097	0.993617373	Faecalibacterium prausnitzii:2159	748224.PRJNA46809	"Genes_ ABC transporter, ATP-binding protein;RNA polymerase sigma factor, sigma-70 family"
progression.63	Faecalibacterium prausnitzii:386_387	0.712378872	0.149009146	-0.040909749	0.328536198	0.944033003	Faecalibacterium prausnitzii:386	748224.PRJNA46809	Genes_ relaxase/mobilization nuclease domain protein;
progression.64	Faecalibacterium prausnitzii:505_506	0.475494758	0.105182927	-0.087840311	0.29059326	0.873879945	Faecalibacterium prausnitzii:505	748224.PRJNA46809	Genes_ unannotated
progression.65	Faecalibacterium prausnitzii:1525_1526	0.298837807	0.20160061	0.014484792	0.375074198	0.778627063	Faecalibacterium prausnitzii:1525	748224.PRJNA46809	Genes_ ;Sigma-70 region 2
progression.66	Faecalibacterium prausnitzii:1526_1527	0.968317864	0.105945122	-0.090874919	0.294799717	0.988332321	Faecalibacterium prausnitzii:1526	748224.PRJNA46809	"Genes_ ;sigma-70, region 4"
progression.67	Faecalibacterium prausnitzii:1528_1534	0.726535422	0.213414634	0.028997598	0.38378139	0.944033003	Faecalibacterium prausnitzii:1528	748224.PRJNA46809	"Genes_ bacterial mobilization protein MobC;relaxase/mobilization nuclease domain protein;;phage replisome organizer N-terminal domain protein;IstB-like ATP-binding protein;resolvase, N-terminal domain protein"
progression.68	Faecalibacterium prausnitzii:498_499;499_500;501_502;502_503;503_504	0.391987636	0.207698171	0.014510572	0.385937326	0.810421341	Faecalibacterium prausnitzii:498	748224.PRJNA46809	Genes_ cadmium-exporting ATPase;succinate dehydrogenase flavoprotein subunit;succinate dehydrogenase and fumarate reductase iron-sulfur protein
progression.69	Faecalibacterium prausnitzii:854_855;863_864;864_865	0.018543653	0.370807927	0.186070468	0.530223056	0.588176301	Faecalibacterium prausnitzii:854	748224.PRJNA46809	"Genes_ ABC transporter, permease protein"
progression.70	Faecalibacterium prausnitzii:1081_1082	0.351698697	0.157012195	-0.035254077	0.338070528	0.778627063	Faecalibacterium prausnitzii:1081	748224.PRJNA46809	"Genes_ ;peptidase family S51;oligopeptide transporter, OPT family"
progression.71	Faecalibacterium prausnitzii:1275_1276	0.133787509	0.138338415	-0.053070068	0.319941846	0.630681872	Faecalibacterium prausnitzii:1275	748224.PRJNA46809	"Genes_ radical SAM domain protein;transcriptional regulator, MarR family"
progression.72	Faecalibacterium prausnitzii:1350_1353;1353_1361;1361_1364	0.583713676	0.052972561	-0.137997617	0.24014514	0.927678461	Faecalibacterium prausnitzii:1350	748224.PRJNA46809	"Genes_ ferritin-like protein;thioredoxin-disulfide reductase;thioredoxin;metallo-beta-lactamase domain protein;nitroreductase family protein;ribonucleoside-diphosphate reductase, beta subunit;ribonucleoside-diphosphate reductase, alpha subunit;rubredoxin;transcriptional regulator, Rrf2 family;diguanylate cyclase (GGDEF) domain protein"
progression.73	Faecalibacterium prausnitzii:1381_1382;1386_1387	0.72587102	0.006478659	-0.180815514	0.193319381	0.944033003	Faecalibacterium prausnitzii:1381	748224.PRJNA46809	"Genes_ DNA binding domain, excisionase family;site-specific recombinase, phage integrase family"
progression.74	Faecalibacterium prausnitzii:2357_2362;2362_2368	0.188529536	0.124618902	-0.065970105	0.306435041	0.692463672	Faecalibacterium prausnitzii:2357	748224.PRJNA46809	"Genes_ DNA topoisomerase;resolvase, N-terminal domain protein;MobA/MobL family protein;Sigma-70 region 2"
progression.75	Faecalibacterium prausnitzii:901_902;902_904;904_905	0.58485805	0.080030488	-0.110996706	0.265354683	0.927678461	Faecalibacterium prausnitzii:901	748224.PRJNA46809	"Genes_ bacterial mobilization protein MobC;relaxase/mobilization nuclease domain protein;CHC2 zinc finger domain protein;phage/plasmid primase, P4 family domain protein"
progression.76	Faecalibacterium prausnitzii:117_121;124_126;560_561;710_712;920_922;1206_1207;1211_1212;1212_1213;1213_1217;1217_1218;1219_1220;1296_1297;1327_1328;1582_1583;1583_1584;1962_1966;2407_2408;2543_2545;2545_2546;2547_2549;2643_2644;2919_2921	0.183253166	0.091463415	-0.095663456	0.272346334	0.692463672	Faecalibacterium prausnitzii:117	748224.PRJNA46809	"Genes_ Beta galactosidase small chain;transporter, major facilitator family protein;transcriptional regulator, AraC family;ABC transporter, ATP-binding protein;Ser/Thr phosphatase family protein;60Kd inner membrane protein;CobQ/CobB/MinD/ParA nucleotide binding domain protein;ribosomal protein S4;30S ribosomal protein S11;30S ribosomal protein S13;ribosomal protein L15;ribosomal protein L30;ribosomal protein S5;ribosomal protein L18;ribosomal protein L6;ribosomal protein S8;ribosomal protein S14p/S29e;ribosomal protein L5;ribosomal protein L24;ribosomal protein L14;30S ribosomal protein S17;ribosomal protein L29;ribosomal protein L16;ribosomal protein S3;ribosomal protein L22;ribosomal protein S19;ribosomal protein L2;50S ribosomal protein L4;50S ribosomal protein L3;ribosomal protein S10;1,3-beta-galactosyl-N-acetylhexosamine phosphorylase;hydrolase, NUDIX family;Fic family protein;16S ribosomal RNA;low molecular weight phosphotyrosine protein phosphatase;transcriptional regulatory protein, C-terminal domain protein;6,7-dimethyl-8-ribityllumazine synthase;3,4-dihydroxy-2-butanone-4-phosphate synthase;riboflavin synthase, alpha subunit;riboflavin biosynthesis protein RibD;replication initiator protein A domain protein;Tat pathway signal sequence domain protein;ABC transporter, permease protein;transcriptional regulator, LacI family;kinase, PfkB family;glycosyl hydrolase, family 31;putative sporulation initiation inhibitor protein Soj"
progression.77	Faecalibacterium prausnitzii:1568_1569	0.924359031	0.040777439	-0.14731694	0.226025379	0.978082838	Faecalibacterium prausnitzii:1568	748224.PRJNA46809	"Genes_ TRAP transporter, DctM subunit;TRAP transporter, DctQ-like membrane protein"
progression.78	Faecalibacterium prausnitzii:1371_1372	0.750118487	0.141387195	-0.048090887	0.321043048	0.946795895	Faecalibacterium prausnitzii:1371	748224.PRJNA46809	Genes_ unannotated
progression.79	Faecalibacterium prausnitzii:866_874	0.185546908	0.099085366	-0.09376774	0.284771582	0.692463672	Faecalibacterium prausnitzii:866	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein;;Tat pathway signal sequence domain protein;LytTr DNA-binding domain protein"
progression.80	Faecalibacterium prausnitzii:1311_1312	0.864666763	0.011432927	-0.181191816	0.203212859	0.964337218	Faecalibacterium prausnitzii:1311	748224.PRJNA46809	Genes_ unannotated
progression.81	Faecalibacterium prausnitzii:1372_1380	0.266183874	0.137957317	-0.054647899	0.320664614	0.755609921	Faecalibacterium prausnitzii:1372	748224.PRJNA46809	Genes_ ;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;response regulator receiver domain protein;phospholipase D domain protein;peptidase S24-like protein
progression.82	Faecalibacterium prausnitzii:735_740	0.445453061	0.083079268	-0.110653689	0.270729703	0.857255599	Faecalibacterium prausnitzii:735	748224.PRJNA46809	"Genes_ resolvase, N-terminal domain protein;;efflux ABC transporter, permease protein;ABC transporter, ATP-binding protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein;response regulator receiver domain protein"
progression.83	Faecalibacterium prausnitzii:424_425	0.133255305	0.05945122	-0.129783395	0.24450722	0.630681872	Faecalibacterium prausnitzii:424	748224.PRJNA46809	"Genes_ ;site-specific recombinase, phage integrase family"
progression.84	Faecalibacterium prausnitzii:874_876	0.317018142	0.075838415	-0.113691319	0.260042161	0.778627063	Faecalibacterium prausnitzii:874	748224.PRJNA46809	Genes_ ;bacterial mobilization protein MobC;relaxase/mobilization nuclease domain protein
progression.85	Faecalibacterium prausnitzii:885_887	0.206243228	0.121189024	-0.071044826	0.304743016	0.694184522	Faecalibacterium prausnitzii:885	748224.PRJNA46809	Genes_ tRNA-Arg;transposase;60Kd inner membrane protein
progression.86	Faecalibacterium prausnitzii:378_379	0.191108624	0.001143293	-0.187286528	0.189491961	0.694026054	Faecalibacterium prausnitzii:378	748224.PRJNA46809	"Genes_ ABC transporter, ATP-binding protein"
progression.87	Bacteroides uniformis:388_396	0.754958641	0.133603239	-0.062460283	0.319738037	0.950008746	Bacteroides uniformis:388	411479.PRJNA18195	Genes_ ;relaxase/mobilization nuclease domain protein
progression.88	Bacteroides uniformis:413_415	0.347043069	0.116959064	-0.081370933	0.306379408	0.778627063	Bacteroides uniformis:413	411479.PRJNA18195	"Genes_ ;site-specific recombinase, phage integrase family"
progression.89	Bacteroides uniformis:387_388	0.685686926	0.180386865	-0.017242812	0.364451412	0.942357033	Bacteroides uniformis:387	411479.PRJNA18195	Genes_ unannotated
progression.90	Bacteroides uniformis:412_413	0.134749351	0.106612686	-0.091264152	0.2963903	0.630681872	Bacteroides uniformis:412	411479.PRJNA18195	Genes_ transcription termination/antitermination factor NusG
progression.91	Bacteroides uniformis:2028_2029;2156_2157;2919_2920	0.332931313	-0.036437247	-0.234877131	0.164918353	0.778627063	Bacteroides uniformis:2028	411479.PRJNA18195	Genes_ integrase core domain protein;IstB-like ATP-binding protein
progression.92	Bacteroides uniformis:1310_1311	0.608568094	0.0422852	-0.155236607	0.236555998	0.929694432	Bacteroides uniformis:1310	411479.PRJNA18195	"Genes_ transposase, Mutator family;acyl-CoA dehydrogenase, C-terminal domain protein"
progression.93	Bacteroides uniformis:3881_3882;3882_3883	0.398577358	0.078722447	-0.124376291	0.275489943	0.810421341	Bacteroides uniformis:3881	411479.PRJNA18195	Genes_ topoisomerase DNA-binding C4 zinc finger domain protein
progression.94	Bacteroides uniformis:3886_3888;3888_3889	0.078462752	0.000899685	-0.193797368	0.195528554	0.588176301	Bacteroides uniformis:3886	411479.PRJNA18195	"Genes_ transcriptional regulator, AlpA family;site-specific recombinase, phage integrase family"
progression.95	Bacteroides uniformis:2584_2586;3612_3615	0.076992765	0.135852452	-0.062564562	0.323938901	0.588176301	Bacteroides uniformis:2584	411479.PRJNA18195	Genes_ reverse transcriptase (RNA-dependent DNA polymerase);TraG family protein
progression.96	Bacteroides uniformis:3591_3596;3596_3597;3598_3610	0.449334456	0.034637877	-0.163979132	0.230555943	0.857255599	Bacteroides uniformis:3591	411479.PRJNA18195	"Genes_ CHC2 zinc finger domain protein;conjugative transposon TraN protein;conjugative transposon TraM protein;conjugative transposon TraK protein;conjugative transposon TraJ protein;conjugation system ATPase, TraG family;conjugative transposon protein TraE"
progression.97	Bacteroides uniformis:2749_2759;2761_2765;3615_3625	0.331035246	0.001349528	-0.193835482	0.196431765	0.778627063	Bacteroides uniformis:2749	411479.PRJNA18195	"Genes_ dihydroneopterin aldolase;site-specific recombinase, phage integrase family;DNA binding domain, excisionase family;DNA topoisomerase;helicase C-terminal domain protein;transcriptional regulator, AraC family;reverse transcriptase (RNA-dependent DNA polymerase);divergent AAA domain protein;RteC protein;Sigma-54 interaction domain protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein"
progression.98	Bacteroides uniformis:2765_2769	0.814924563	-0.024741341	-0.220152774	0.172579249	0.964337218	Bacteroides uniformis:2765	411479.PRJNA18195	Genes_ unannotated
progression.99	Bacteroides uniformis:3625_3626	0.134211504	0.075573549	-0.120901789	0.266350891	0.630681872	Bacteroides uniformis:3625	411479.PRJNA18195	Genes_ unannotated
progression.100	Bacteroides uniformis:3610_3611	0.085242942	0.229419703	0.031365363	0.410138759	0.588176301	Bacteroides uniformis:3610	411479.PRJNA18195	Genes_ ;relaxase/mobilization nuclease domain protein
progression.101	Bacteroides uniformis:2759_2761	0.289884057	0.053981107	-0.147036069	0.250716209	0.778627063	Bacteroides uniformis:2759	411479.PRJNA18195	Genes_ helicase C-terminal domain protein
progression.102	Bacteroides uniformis:3215_3216;3216_3218;3218_3220;3220_3221	0.232002471	0.108412056	-0.090953276	0.299422347	0.744932141	Bacteroides uniformis:3215	411479.PRJNA18195	"Genes_ transposase, IS4 family"
progression.103	Bacteroides uniformis:3224_3225;3227_3228;3228_3229;3230_3231;3231_3232;3232_3233	0.412244879	0.107512371	-0.086407444	0.293582773	0.816078055	Bacteroides uniformis:3224	411479.PRJNA18195	Genes_ DnaJ domain protein
progression.104	Bacteroides uniformis:3256_3257	0.317157149	0.139901035	-0.059032224	0.328146984	0.778627063	Bacteroides uniformis:3256	411479.PRJNA18195	Genes_ ;Sigma-54 interaction domain protein
