	mgs	pval	delta	delta.low	delta.up	fdr	bacteria	genome	annotation
progression.258	Faecalibacterium prausnitzii:2553_2554	0.010506898	0.179878049	0.028783087	0.3229367	0.481780445	Faecalibacterium prausnitzii:2553	748224.PRJNA46809	Genes_ unannotated
progression.307	Bacteroides uniformis:1713_1716	0.010817178	0.246963563	0.07388932	0.40559612	0.481780445	Bacteroides uniformis:1713	411479.PRJNA18195	Genes_ unannotated
progression.932	Ruminococcus sp. SR1/5:1529_1530	0.010672829	0.232720588	0.069448719	0.383849991	0.481780445	Ruminococcus sp. SR1/5:1529	657323.PRJNA39149	Genes_ ;Predicted small molecule binding protein (contains 3H domain)
progression.993	Anaerostipes hadrus:185_187;187_189	0.009424585	0.18898226	0.031434476	0.337366859	0.481780445	Anaerostipes hadrus:185	245018.PRJNA45957	"Genes_ DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog;transcriptional regulator, MerR family"
progression.1003	Anaerostipes hadrus:310_312	0.009273213	-0.196265173	-0.333395113	-0.051002841	0.481780445	Anaerostipes hadrus:310	245018.PRJNA45957	"Genes_ ;ABC-type multidrug transport system, ATPase component"
progression.826	Anaerobutyricum hallii:687_688	0.012016092	-0.228018576	-0.371794177	-0.073560173	0.515356842	Anaerobutyricum hallii:687	411469.PRJNA18177	"Genes_ bacterial transferase hexapeptide repeat protein;transcriptional regulator, HxlR family;"
progression.33	[Eubacterium] rectale:489_490;1443_1444;1453_1455	0.014113907	0.143939394	-0.006784368	0.28826821	0.523083116	[Eubacterium] rectale:489	657318.PRJNA39159	Genes_ Global regulator protein family.;Flagellin and related hook-associated proteins;Protein of unknown function (DUF1703)./Predicted AAA-ATPase.
progression.133	[Eubacterium] rectale:2820_2821	0.01403773	-0.150252525	-0.29116019	-0.002964108	0.523083116	[Eubacterium] rectale:2820	657318.PRJNA39159	"Genes_ nucleotidyltransferase substrate binding protein, HI0074 family;Site-specific recombinase XerD"
progression.407	Blautia obeum:1204_1206;1223_1225;1343_1345;2123_2125;2792_2794	0.014454801	0.125274725	0.020816414	0.227027506	0.523083116	Blautia obeum:1204	411459.PRJNA18147	"Genes_ conserved domain protein;polysaccharide biosynthesis protein;DNA-binding helix-turn-helix protein;site-specific recombinase, phage integrase family;aminotransferase, class V;thiamine transporter protein (Thia_YuaJ);response regulator receiver domain protein;ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein"
progression.737	Coprococcus comes:781_783	0.014206094	0.112020261	0.002046184	0.219317094	0.523083116	Coprococcus comes:781	470146.PRJNA20525	Genes_ LPXTG-motif cell wall anchor domain protein
progression.1031	Anaerostipes hadrus:854_855	0.013917433	-0.18076564	-0.332042545	-0.020423162	0.523083116	Anaerostipes hadrus:854	245018.PRJNA45957	Genes_ Transcriptional regulator
progression.769	Coprococcus comes:1690_1691	0.015002398	0.220728619	0.082448131	0.350670548	0.526447775	Coprococcus comes:1690	470146.PRJNA20525	Genes_ unannotated
progression.514	Blautia wexlerae:405_406	0.016634538	0.199391172	0.047414585	0.342345238	0.566552797	Blautia wexlerae:405	1121115.PRJNA195783	Genes_ NA
progression.1138	Bifidobacterium adolescentis:1592_1593	0.017501995	-0.231481481	-0.387914282	-0.062086038	0.579065997	Bifidobacterium adolescentis:1592	1680.PRJNA240293	Genes_ 
progression.440	Blautia obeum:2075_2076	0.018683566	0.196703297	0.034463447	0.348841875	0.584745119	Blautia obeum:2075	411459.PRJNA18147	"Genes_ glycosyltransferase, group 2 family protein;bacterial group 2 Ig-like protein"
progression.880	Anaerobutyricum hallii:2969_2977;2977_2980;2980_2983	0.018244086	-0.170897833	-0.300291264	-0.035328309	0.584745119	Anaerobutyricum hallii:2969	411469.PRJNA18177	"Genes_ hydroxyethylthiazole kinase;metal cation transporter, ZIP family;AMP-binding enzyme;bacterial group 2 Ig-like protein;SsrA-binding protein"
progression.187	Faecalibacterium prausnitzii:788_789	0.019787218	0.160823171	0.022604462	0.293009184	0.602989421	Faecalibacterium prausnitzii:788	748224.PRJNA46809	Genes_ ;YaiI/YqxD family protein
progression.927	Ruminococcus sp. SR1/5:1190_1192	0.020945395	-0.129779412	-0.24276442	-0.013320595	0.621917126	Ruminococcus sp. SR1/5:1190	657323.PRJNA39149	Genes_ unannotated
progression.1052	Anaerostipes hadrus:1281_1283	0.021502099	0.194957983	0.029547734	0.349975202	0.622485768	Anaerostipes hadrus:1281	245018.PRJNA45957	Genes_ unannotated
progression.238	Faecalibacterium prausnitzii:1524_1525	0.026080674	0.151676829	-0.011090885	0.306614184	0.636692182	Faecalibacterium prausnitzii:1524	748224.PRJNA46809	Genes_ TraG/TraD family protein;
progression.271	Bacteroides uniformis:63_65;295_297;792_794;1216_1218;2181_2182	0.027033041	0.105937922	0.013118327	0.196947389	0.636692182	Bacteroides uniformis:63	411479.PRJNA18195	"Genes_ TonB-dependent receptor plug domain protein;transcriptional regulator, AraC family;creatininase;TonB-linked outer membrane protein, SusC/RagA family;amino acid/peptide transporter;YbaK/EbsC protein;excinuclease ABC, A subunit;hydrophobic domain protein;DNA-damage-inducible protein D;polysaccharide biosynthesis protein;MutS2 family protein"
progression.288	Bacteroides uniformis:608_627;627_628	0.025540843	0.159919028	-0.003982588	0.315453245	0.636692182	Bacteroides uniformis:608	411479.PRJNA18195	"Genes_ tRNA-Pro;putative alpha-1,2-mannosidase;SusD family protein;TonB-linked outer membrane protein, SusC/RagA family;sigma factor regulatory protein, FecR/PupR family;RNA polymerase sigma-70 factor;GDSL-like protein;Sel1 repeat protein;VirE N-terminal domain protein"
progression.356	Bacteroides uniformis:3611_3612	0.026365553	0.149122807	-0.021907288	0.311672816	0.636692182	Bacteroides uniformis:3611	411479.PRJNA18195	Genes_ relaxase/mobilization nuclease domain protein;TraG family protein
progression.555	Blautia wexlerae:1057_1058	0.027491027	0.134495641	-0.018392679	0.281237917	0.636692182	Blautia wexlerae:1057	1121115.PRJNA195783	Genes_ NA
progression.585	Blautia wexlerae:2053_2055	0.026235751	0.127162031	-0.013109338	0.262525039	0.636692182	Blautia wexlerae:2053	1121115.PRJNA195783	Genes_ NA
progression.652	Blautia wexlerae:3693_3701	0.025042074	-0.156773212	-0.296592922	-0.010373629	0.636692182	Blautia wexlerae:3693	1121115.PRJNA195783	Genes_ NA
progression.699	Blautia wexlerae:4463_4465;4466_4468;4470_4472	0.026017057	0.127853881	-0.006179229	0.257374135	0.636692182	Blautia wexlerae:4463	1121115.PRJNA195783	Genes_ NA
progression.700	Blautia wexlerae:4465_4466	0.027332248	0.178497302	0.02551885	0.323307068	0.636692182	Blautia wexlerae:4465	1121115.PRJNA195783	Genes_ NA
progression.1139	Bifidobacterium adolescentis:1606_1607	0.026721907	-0.199074074	-0.355627874	-0.031654085	0.636692182	Bifidobacterium adolescentis:1606	1680.PRJNA240293	Genes_ isoleucyl-tRNA synthetase
progression.167	Faecalibacterium prausnitzii:557_560;568_571	0.030466066	0.137195122	-0.02735015	0.294501809	0.641449182	Faecalibacterium prausnitzii:557	748224.PRJNA46809	Genes_ Ser/Thr phosphatase family protein;Tat pathway signal sequence domain protein
progression.344	Bacteroides uniformis:2921_2923	0.030088478	0.192982456	0.020336667	0.354452446	0.641449182	Bacteroides uniformis:2921	411479.PRJNA18195	"Genes_ ;site-specific recombinase, phage integrase family;tRNA-Gly"
progression.458	Blautia obeum:2690_2693	0.028338983	0.142857143	-0.00887908	0.288162667	0.641449182	Blautia obeum:2690	411459.PRJNA18147	Genes_ ;MobA/MobL family protein
progression.556	Blautia wexlerae:1058_1060;1060_1061	0.029197975	0.113463401	-0.027846942	0.250327665	0.641449182	Blautia wexlerae:1058	1121115.PRJNA195783	Genes_ NA
progression.728	Coprococcus comes:513_514	0.030197221	0.203000195	0.035224778	0.359646727	0.641449182	Coprococcus comes:513	470146.PRJNA20525	Genes_ unannotated
progression.565	Blautia wexlerae:1353_1355;1362_1364;1366_1368	0.032429317	0.116645911	-0.020602984	0.249579681	0.647468089	Blautia wexlerae:1353	1121115.PRJNA195783	Genes_ NA
progression.1028	Anaerostipes hadrus:673_675	0.032205607	-0.161904762	-0.3068601	-0.009608527	0.647468089	Anaerostipes hadrus:673	245018.PRJNA45957	Genes_ Bacterial surface proteins containing Ig-like domains
progression.1131	Bifidobacterium adolescentis:1174_1178;1178_1180;1180_1182;1184_1186;1186_1189	0.032360454	-0.185185185	-0.336982441	-0.024004353	0.647468089	Bifidobacterium adolescentis:1174	1680.PRJNA240293	Genes_ thioredoxin-dependent thiol peroxidase;glutamine ABC transporter ATP-binding protein;ATP-binding region ATPase domain-containing protein;endonuclease;abortive phage infection;DNA-cytosine methyltransferase;ATP-dependent exoDNAse (exonuclease V) alpha subunit - helicase superfamily I member-like protein;putative flavin-nucleotide-binding protein
progression.30	[Eubacterium] rectale:479_481;481_482	0.042255262	-0.156565657	-0.304806369	-0.000918431	0.655268388	[Eubacterium] rectale:479	657318.PRJNA39159	Genes_ Protein of unknown function (DUF1703)./Predicted AAA-ATPase.
progression.163	Faecalibacterium prausnitzii:533_535;536_538	0.040095473	-0.139862805	-0.285191411	0.01175225	0.655268388	Faecalibacterium prausnitzii:533	748224.PRJNA46809	Genes_ peptidase M15
progression.261	Faecalibacterium prausnitzii:2617_2618	0.036315722	0.165777439	0.00766556	0.31580235	0.655268388	Faecalibacterium prausnitzii:2617	748224.PRJNA46809	Genes_ unannotated
progression.334	Bacteroides uniformis:2590_2591	0.037032843	-0.197705803	-0.359351753	-0.024541545	0.655268388	Bacteroides uniformis:2590	411479.PRJNA18195	Genes_ unannotated
progression.457	Blautia obeum:2668_2671;2712_2714;3046_3048	0.039416359	0.165934066	-0.004558495	0.327052275	0.655268388	Blautia obeum:2668	411459.PRJNA18147	Genes_ ParB-like protein;reverse transcriptase (RNA-dependent DNA polymerase)
progression.490	Blautia obeum:3297_3298	0.04124862	0.165934066	0.001699254	0.321452458	0.655268388	Blautia obeum:3297	411459.PRJNA18147	"Genes_ resolvase, N-terminal domain protein;"
progression.584	Blautia wexlerae:2043_2044	0.040523337	0.106960011	-0.032121585	0.241978017	0.655268388	Blautia wexlerae:2043	1121115.PRJNA195783	Genes_ NA
progression.616	Blautia wexlerae:2772_2773	0.03458419	0.104192611	-0.048226012	0.25186928	0.655268388	Blautia wexlerae:2772	1121115.PRJNA195783	Genes_ NA
progression.627	Blautia wexlerae:3167_3171;3173_3175	0.033745642	0.163414972	0.01140198	0.308045233	0.655268388	Blautia wexlerae:3167	1121115.PRJNA195783	Genes_ NA
progression.656	Blautia wexlerae:3718_3721	0.034705557	-0.117891241	-0.264811009	0.034377632	0.655268388	Blautia wexlerae:3718	1121115.PRJNA195783	Genes_ NA
progression.698	Blautia wexlerae:4462_4463	0.042439662	0.122180711	-0.027471741	0.266476407	0.655268388	Blautia wexlerae:4462	1121115.PRJNA195783	Genes_ NA
progression.797	Coprococcus comes:3021_3022	0.037807779	0.190337035	0.023232096	0.347095344	0.655268388	Coprococcus comes:3021	470146.PRJNA20525	Genes_ LPXTG-motif cell wall anchor domain protein
progression.966	Ruminococcus sp. SR1/5:2763_2765;2767_2770	0.042066538	0.150367647	-0.011482099	0.304539639	0.655268388	Ruminococcus sp. SR1/5:2763	657323.PRJNA39149	Genes_ Response regulator of the LytR/AlgR family
progression.980	Ruminococcus sp. SR1/5:3133_3134	0.041818048	0.205147059	0.04398734	0.355900572	0.655268388	Ruminococcus sp. SR1/5:3133	657323.PRJNA39149	Genes_ 
progression.1001	Anaerostipes hadrus:206_207	0.041803674	0.150140056	-0.001486446	0.295018076	0.655268388	Anaerostipes hadrus:206	245018.PRJNA45957	Genes_ DNA segregation ATPase FtsK/SpoIIIE and related proteins
progression.1125	Bifidobacterium adolescentis:820_822	0.041100125	-0.208333333	-0.367989021	-0.036745146	0.655268388	Bifidobacterium adolescentis:820	1680.PRJNA240293	Genes_ phage family integrase;Restriction endonuclease S subunits;
progression.1149	Bifidobacterium adolescentis:1808_1810	0.037212022	0.115740741	-0.06085857	0.28531387	0.655268388	Bifidobacterium adolescentis:1808	1680.PRJNA240293	"Genes_ ;DNA modification methyltransferase;RelB antitoxin domain;transposase, IS1595 family"
progression.3	[Eubacterium] rectale:170_172	0.04432503	0.160353535	0.002393026	0.310506676	0.6606796	[Eubacterium] rectale:170	657318.PRJNA39159	Genes_ unannotated
progression.31	[Eubacterium] rectale:486_487	0.044523414	0.10479798	-0.052582293	0.257098634	0.6606796	[Eubacterium] rectale:486	657318.PRJNA39159	"Genes_ putative efflux protein, MATE family;"
progression.430	Blautia obeum:1507_1508	0.04507227	0.162637363	-0.005528578	0.321857322	0.6606796	Blautia obeum:1507	411459.PRJNA18147	"Genes_ ABC transporter, ATP-binding protein;"
progression.589	Blautia wexlerae:2202_2203	0.044475929	0.185692542	0.033354173	0.329598495	0.6606796	Blautia wexlerae:2202	1121115.PRJNA195783	Genes_ NA
progression.122	[Eubacterium] rectale:2586_2588	0.046297551	0.172979798	0.016366622	0.321308369	0.670157055	[Eubacterium] rectale:2586	657318.PRJNA39159	"Genes_ dTDP-4-dehydrorhamnose reductase;dTDP-4-dehydrorhamnose 3,5-epimerase;"
progression.2	[Eubacterium] rectale:55_57;98_100;560_562;562_564;654_656;849_851;1756_1758;1758_1760;1760_1763;1770_1772;1772_1773	0.048302355	0.089646465	-0.008464835	0.186048255	0.677315066	[Eubacterium] rectale:55	657318.PRJNA39159	"Genes_ Stress responsive A/B Barrel Domain.;Methyl-accepting chemotaxis protein;ADP-glucose pyrophosphorylase;Uncharacterized protein, involved in the regulation of septum location;Uncharacterized flagellar protein FlaG;Flagellar capping protein;flagellar biosynthetic protein FliS;FlgN protein.;Predicted ATPase (AAA+ superfamily);D-alanyl-D-alanine carboxypeptidase.;RNA polymerase sigma factor, sigma-70 family;Zn-dependent hydrolases, including glyoxylases;Coproporphyrinogen III oxidase and related Fe-S oxidoreductases;prepilin-type N-terminal cleavage/methylation domain;type 4 prepilin peptidase 1 . Aspartic peptidase. MEROPS family A24A"
progression.199	Faecalibacterium prausnitzii:1125_1126	0.047380338	0.136432927	-0.012991565	0.279897033	0.677315066	Faecalibacterium prausnitzii:1125	748224.PRJNA46809	"Genes_ glycosyltransferase, group 2 family;"
progression.239	Faecalibacterium prausnitzii:1535_1536	0.050261282	0.120426829	-0.04094197	0.275672996	0.677315066	Faecalibacterium prausnitzii:1535	748224.PRJNA46809	Genes_ ;YaiI/YqxD family protein
progression.263	Faecalibacterium prausnitzii:2639_2640	0.050301464	0.115472561	-0.03766673	0.263312568	0.677315066	Faecalibacterium prausnitzii:2639	748224.PRJNA46809	Genes_ leucine Rich Repeat protein;
progression.286	Bacteroides uniformis:604_605	0.049866868	0.114035088	-0.057854167	0.279357835	0.677315066	Bacteroides uniformis:604	411479.PRJNA18195	Genes_ putative phage head-tail adaptor;;IstB-like ATP-binding protein
progression.1016	Anaerostipes hadrus:601_602	0.048924269	-0.146218487	-0.298315751	0.013120843	0.677315066	Anaerostipes hadrus:601	245018.PRJNA45957	Genes_ unannotated
progression.36	[Eubacterium] rectale:514_515	0.054218023	0.178030303	0.029080413	0.319245666	0.680810146	[Eubacterium] rectale:514	657318.PRJNA39159	Genes_ unannotated
progression.285	Bacteroides uniformis:522_524;526_527	0.052638738	0.13900135	-0.027839351	0.298307508	0.680810146	Bacteroides uniformis:522	411479.PRJNA18195	Genes_ GSCFA family protein;1-deoxy-D-xylulose-5-phosphate synthase;TrkA N-terminal domain protein
progression.431	Blautia obeum:1513_1515	0.054180571	0.106593407	-0.0397965	0.248503624	0.680810146	Blautia obeum:1513	411459.PRJNA18147	Genes_ response regulator receiver domain protein
progression.511	Blautia wexlerae:268_270	0.055297976	0.147640791	0.006503567	0.283010729	0.680810146	Blautia wexlerae:268	1121115.PRJNA195783	Genes_ NA
progression.636	Blautia wexlerae:3278_3280;3280_3281	0.055716918	0.100041511	-0.040155179	0.236375245	0.680810146	Blautia wexlerae:3278	1121115.PRJNA195783	Genes_ NA
progression.819	Anaerobutyricum hallii:508_509	0.057028138	-0.099535604	-0.242444749	0.047601341	0.680810146	Anaerobutyricum hallii:508	411469.PRJNA18177	Genes_ repeat protein
progression.870	Anaerobutyricum hallii:2660_2662	0.055130934	0.06996904	-0.068864882	0.206144312	0.680810146	Anaerobutyricum hallii:2660	411469.PRJNA18177	Genes_ unannotated
progression.923	Ruminococcus sp. SR1/5:856_859	0.055475536	0.116176471	-0.037885888	0.264844183	0.680810146	Ruminococcus sp. SR1/5:856	657323.PRJNA39149	"Genes_ ;ATP-dependent exoDNAse (exonuclease V), alpha subunit-helicase superfamily I member"
progression.977	Ruminococcus sp. SR1/5:3054_3056	0.053011228	0.073713235	-0.050050836	0.195247663	0.680810146	Ruminococcus sp. SR1/5:3054	657323.PRJNA39149	Genes_ Transposase DDE domain.;DNA replication protein
progression.1032	Anaerostipes hadrus:884_886	0.056803585	0.122502334	-0.029744933	0.269194431	0.680810146	Anaerostipes hadrus:884	245018.PRJNA45957	"Genes_ Phosphatidylserine/phosphatidylglycerophosphate/ cardiolipin synthases and related enzymes;HAD-superfamily hydrolase, subfamily IIB;Protein kinase domain.;"
progression.1036	Anaerostipes hadrus:1104_1108;1126_1127	0.0568014	0.183753501	0.018841355	0.338932178	0.680810146	Anaerostipes hadrus:1104	245018.PRJNA45957	"Genes_ Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase;aminodeoxychorismate synthase, subunit I;aminodeoxychorismate synthase, glutamine amidotransferase subunit;HAD-superfamily hydrolase, subfamily IIB"
progression.293	Bacteroides uniformis:829_830	0.059260988	0.200404858	0.028215955	0.361043408	0.695347543	Bacteroides uniformis:829	411479.PRJNA18195	Genes_ unannotated
progression.874	Anaerobutyricum hallii:2811_2813	0.059446811	0.138080495	-0.012837262	0.282847442	0.695347543	Anaerobutyricum hallii:2811	411469.PRJNA18177	Genes_ reverse transcriptase (RNA-dependent DNA polymerase)
progression.631	Blautia wexlerae:3208_3214;3214_3215	0.063868327	0.104054241	-0.030630782	0.235028005	0.739595222	Blautia wexlerae:3208	1121115.PRJNA195783	Genes_ NA
progression.17	[Eubacterium] rectale:282_291;291_294	0.065243949	-0.119949495	-0.269965544	0.035751842	0.748044479	[Eubacterium] rectale:282	657318.PRJNA39159	"Genes_ Virulence protein;Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain;conserved hypothetical integral membrane protein TIGR02185;ABC-type cobalt transport system, permease component CbiQ and related transporters;ATPase components of various ABC-type transport systems, contain duplicated ATPase;transcriptional regulator, BadM/Rrf2 family;Uncharacterized conserved protein;Predicted phosphatase homologous to the C-terminal domain of histone macroH2A1;Predicted transcriptional regulators"
progression.66	[Eubacterium] rectale:1110_1112	0.071685648	0.109848485	-0.02800614	0.243602718	0.755961145	[Eubacterium] rectale:1110	657318.PRJNA39159	Genes_ ;Predicted P-loop ATPase and inactivated derivatives;DNA primase (bacterial type)
progression.88	[Eubacterium] rectale:1778_1780	0.073222251	0.101010101	-0.056653443	0.253758277	0.755961145	[Eubacterium] rectale:1778	657318.PRJNA39159	Genes_ unannotated
progression.145	Faecalibacterium prausnitzii:54_55	0.074421045	0.123856707	-0.038579044	0.279915222	0.755961145	Faecalibacterium prausnitzii:54	748224.PRJNA46809	Genes_ unannotated
progression.276	Bacteroides uniformis:192_194;830_832	0.068422827	0.089068826	-0.015743365	0.191944859	0.755961145	Bacteroides uniformis:192	411479.PRJNA18195	Genes_ polysaccharide biosynthesis protein;DegT/DnrJ/EryC1/StrS aminotransferase family protein
progression.317	Bacteroides uniformis:2030_2031	0.069074089	0.12145749	-0.044241382	0.280652696	0.755961145	Bacteroides uniformis:2030	411479.PRJNA18195	"Genes_ ketopantoate reductase PanE/ApbA;transcriptional regulator, AraC family"
progression.411	Blautia obeum:1220_1221	0.071917061	0.093406593	-0.077234259	0.258730859	0.755961145	Blautia obeum:1220	411459.PRJNA18147	Genes_ oligosaccharide biosynthesis protein Alg14 like protein;bacterial sugar transferase
progression.580	Blautia wexlerae:1859_1861;1861_1863	0.068399538	0.093538121	-0.048729852	0.232086097	0.755961145	Blautia wexlerae:1859	1121115.PRJNA195783	Genes_ NA
progression.601	Blautia wexlerae:2620_2621	0.070573338	0.147364051	0.006009721	0.282944564	0.755961145	Blautia wexlerae:2620	1121115.PRJNA195783	Genes_ NA
progression.773	Coprococcus comes:2108_2109	0.07012825	-0.146113384	-0.30569512	0.021453126	0.755961145	Coprococcus comes:2108	470146.PRJNA20525	Genes_ ;transposase
progression.835	Anaerobutyricum hallii:1213_1214	0.071371265	-0.135603715	-0.286582252	0.021946813	0.755961145	Anaerobutyricum hallii:1213	411469.PRJNA18177	Genes_ ;4-alpha-glucanotransferase
progression.837	Anaerobutyricum hallii:1401_1402	0.074264112	-0.140247678	-0.281867941	0.00735351	0.755961145	Anaerobutyricum hallii:1401	411469.PRJNA18177	Genes_ SCP-like protein
progression.861	Anaerobutyricum hallii:2330_2331	0.073997987	0.133281734	-0.018570512	0.279123782	0.755961145	Anaerobutyricum hallii:2330	411469.PRJNA18177	Genes_ transposase-like protein;;diguanylate cyclase (GGDEF) domain protein
progression.948	Ruminococcus sp. SR1/5:2481_2482	0.071376406	0.138419118	-0.019175195	0.2893021	0.755961145	Ruminococcus sp. SR1/5:2481	657323.PRJNA39149	Genes_ unannotated
progression.394	Blautia obeum:563_564	0.075776318	-0.142857143	-0.30593619	0.02836609	0.762029655	Blautia obeum:563	411459.PRJNA18147	"Genes_ oxidoreductase, aldo/keto reductase family protein;"
progression.429	Blautia obeum:1506_1507	0.076992634	0.121978022	-0.041596357	0.279184341	0.762029655	Blautia obeum:1506	411459.PRJNA18147	"Genes_ site-specific recombinase, phage integrase family;excisionase from transposon Tn916;ABC transporter, ATP-binding protein"
progression.752	Coprococcus comes:1249_1255	0.076460539	0.105591272	-0.062040544	0.267429277	0.762029655	Coprococcus comes:1249	470146.PRJNA20525	Genes_ unannotated
progression.35	[Eubacterium] rectale:511_514	0.084664358	0.13510101	-0.022806219	0.286431406	0.763054938	[Eubacterium] rectale:511	657318.PRJNA39159	Genes_ unannotated
progression.43	[Eubacterium] rectale:648_650	0.080057315	0.16540404	0.00761434	0.315157045	0.763054938	[Eubacterium] rectale:648	657318.PRJNA39159	Genes_ ;Bacteriocin class II with double-glycine leader peptide.;CAAX amino terminal protease family.
progression.107	[Eubacterium] rectale:2262_2264;2264_2265	0.08158605	-0.133838384	-0.272999797	0.010809479	0.763054938	[Eubacterium] rectale:2262	657318.PRJNA39159	Genes_ DNA methylase
progression.194	Faecalibacterium prausnitzii:1038_1039	0.081259777	0.160060976	-0.005967566	0.317501626	0.763054938	Faecalibacterium prausnitzii:1038	748224.PRJNA46809	Genes_ unannotated
